f_sw_kHz,E_peek_MVpm,V_onset_kV,k_geo_ApV2,I_ion_mA,power_W,thrust_N_UPPER_BOUND,thrust_gf_UPPER_BOUND,efficiency_N_per_kW_UPPER_BOUND,corona_onset_margin,mean_gap_breakdown_margin,droop_V,droop_pct,ripple_Vpp
100.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,1113.7226828242024,5.062375831019102,175.8509499196109
110.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,1012.4751662038204,4.602159846381002,159.86449992691902
120.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,928.1022356868353,4.218646525849252,146.5424582663424
130.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,856.7097560186171,3.8941352546300774,135.26996147662376
140.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,795.5162020172874,3.615982736442215,125.60782137115064
150.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,742.4817885494682,3.3749172206794005,117.23396661307393
160.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,696.0766767651264,3.1639848943869384,109.9068436997568
170.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,655.1309898965897,2.9778681358935892,103.44173524682995
180.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,618.7348237912236,2.8124310172328344,97.69497217756162
190.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,586.1698330653697,2.664408332115317,92.55313153663732
200.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,556.8613414121012,2.531187915509551,87.92547495980546
210.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,530.3441346781916,2.4106551576281436,83.7385475807671
220.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,506.2375831019102,2.301079923190501,79.93224996345951
230.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,484.22725340182717,2.2010329700083053,76.45693474765692
240.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,464.05111784341767,2.109323262924626,73.2712291331712
250.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,445.489073129681,2.024950332407641,70.34037996784437
260.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,428.35487800930855,1.9470676273150387,67.63498073831188
270.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,412.4898825274824,1.8749540114885566,65.12998145170775
280.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,397.7581010086437,1.8079913682211075,62.80391068557532
