C_stage_nF,E_peek_MVpm,V_onset_kV,k_geo_ApV2,I_ion_mA,power_W,thrust_N_UPPER_BOUND,thrust_gf_UPPER_BOUND,efficiency_N_per_kW_UPPER_BOUND,corona_onset_margin,mean_gap_breakdown_margin,droop_V,droop_pct,ripple_Vpp
0.5,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,890.978146259362,4.049900664815282,140.68075993568874
0.6125,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,727.3290989872343,3.306041359032883,114.84143668219488
0.7250000000000001,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,614.467687075422,2.7930349412519178,97.02121374875084
0.8375,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,531.9272514981266,2.4178511431733023,83.98851339444104
0.9500000000000001,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,468.9358664522957,2.1315266656922534,74.04250522930985
1.0625,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,419.28383353381736,1.9058356069718971,66.20271055797116
1.1750000000000003,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,379.1396367061114,1.723361985027779,59.864153164122854
1.2874999999999999,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,346.01093058616,1.572776957209818,54.63330482939368
1.4000000000000001,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,318.20648080691495,1.4463930945768861,50.24312854846025
1.5125,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,294.53823016838413,1.3388101371290186,46.50603634237644
