d_gap_mm,E_peek_MVpm,V_onset_kV,k_geo_ApV2,I_ion_mA,power_W,thrust_N_UPPER_BOUND,thrust_gf_UPPER_BOUND,efficiency_N_per_kW_UPPER_BOUND,corona_onset_margin,mean_gap_breakdown_margin,droop_V,droop_pct,ripple_Vpp
8.0,17.7568,2.5606730564527718,6.22546875e-12,2.6624162929778983,58.57315844551376,0.14199553562548795,14.474570400151675,2.4242424242424248,8.591491188053496,1.0909090909090908,1011.7181913316014,4.598719051507278,159.7449775786739
8.3,17.7568,2.577015515401407,5.783568006967629e-12,2.471351336628967,54.36972940583728,0.13674810729346956,13.939664352035633,2.515151515151516,8.537007196316077,1.1318181818181818,939.1135079190076,4.268697763268216,148.28108019773802
8.6,17.7568,2.592777644541199,5.387101135749053e-12,2.3000707310421835,50.601556082928035,0.1318707219130852,13.442479297969948,2.606060606060606,8.485108642585883,1.1727272727272728,874.0268777960297,3.972849444527408,138.004243862531
8.9,17.7568,2.6079992500398332,5.0300467112738284e-12,2.1459387311418485,47.210652085120664,0.1273256980477497,12.97917411292046,2.6969696969696977,8.435585247834707,1.2136363636363636,815.4567178339024,3.7066214446995565,128.75632386851092
9.2,17.7568,2.622716177911952,4.70734877126654e-12,2.0067439301885615,44.14836646414836,0.12308029438489847,12.546411252283228,2.787878787878788,8.388250389150025,1.2545454545454546,762.5626934716533,3.4661940612347877,120.40463581131368
9.5,17.7568,2.636960822507654,4.414736842105263e-12,1.880619893504067,41.373637657089475,0.11910592658859091,12.141276920345659,2.878787878787879,8.342937753272647,1.2954545454545454,714.6355595315455,3.248343452416116,112.83719361024401
9.799999999999999,17.7568,2.650762555919782,4.148583923365264e-12,1.765982578577544,38.85161672870597,0.11537752846706623,11.761215949751907,2.9696969696969697,8.299498554055239,1.3363636363636364,671.0733798594667,3.050333544815758,105.95895471465265
10.100000000000001,17.7568,2.664148092624514,3.905793549651994e-12,1.661480604450774,36.55257329791703,0.11187302736635216,11.40397832480654,3.060606060606062,8.25779920452068,1.3772727272727276,631.362629691294,2.8698301349604276,99.68883626704644
10.4,17.7568,2.6771418007351797,3.683709319526627e-12,1.565955442227513,34.45101972900529,0.10857291066110757,11.06757499093859,3.1515151515151514,8.217719357995342,1.4181818181818182,595.063068046455,2.7048321274838862,93.95732653365079
10.700000000000001,17.7568,2.6897659689826714,3.480041925058956e-12,1.478409328234091,32.52500522115,0.10545986541403185,10.750241122735153,3.242424242424243,8.179150250875129,1.4590909090909092,561.7955447289546,2.553616112404339,88.70455969404547
11.0,17.7568,2.702041036770911,3.292809917355372e-12,1.3979792344944302,30.75554315887746,0.10251847719625821,10.450405422656292,3.3333333333333335,8.141993293444285,1.5,531.2321091078835,2.414691405035834,83.87875406966582
11.3,17.7568,2.7139857932711244,3.120291330566214e-12,1.323915624469525,29.126143738329546,0.09973497704337089,10.166664326541374,3.424242424242425,8.106158865881072,1.540909090909091,503.0879372984195,2.286763351356452,79.4349374681715
11.600000000000001,17.7568,2.7256175504242792,2.960983947681331e-12,1.2555650147626187,27.622430324777614,0.0970970278083092,9.897760225107971,3.5151515151515156,8.071565284929797,1.581818181818182,477.1147056097951,2.1687032073172503,75.33390088575712
11.9,17.7568,2.7369522938504125,2.813572487818656e-12,1.1923555832663364,26.231822831859404,0.09459354293912937,9.64256299073694,3.6060606060606064,8.038137913266238,1.622727272727273,453.0951216412078,2.0595232801873085,71.54133499598018
12.200000000000001,17.7568,2.7480048149663294,2.6769013705993006e-12,1.1337852305469307,24.943275072032478,0.09221453208448371,9.400054238989165,3.6969696969696972,8.005808388756249,1.6636363636363636,430.8383876078337,1.958356307308335,68.02711383281584
12.5,17.7568,2.7587888270515792,2.549951999999999e-12,1.0794116280834072,23.747055817834962,0.08995096900695061,9.169313864113212,3.787878787878788,7.974513954919929,1.7045454545454546,410.1764186716947,1.8644382666895214,64.76469768500444
12.8,17.7568,2.7693170675475387,2.4318237304687497e-12,1.0288438843816818,22.634565456397,0.08779467813390353,8.949508474404029,3.87878787878788,7.9441968772044,1.7454545454545454,390.9606760650391,1.7770939821138139,61.73063306290091
13.100000000000001,17.7568,2.7796013885037967,2.32171784861022e-12,0.9817355353017043,21.598181776637496,0.08573823674968219,8.73988142198595,3.96969696969697,7.914803932315689,1.7863636363636366,373.0595034146476,1.6957250155211256,58.90413211810226
13.4,17.7568,2.78965283678255,2.2189240365337487e-12,0.9377786235536645,20.631129718180617,0.08377489037079404,8.539744176431604,4.060606060606061,7.886285960002725,1.8272727272727274,356.3558769503925,1.6197994406836023,56.266717413219865
13.700000000000001,17.7568,2.7994817253819635,2.122808886994512e-12,0.8966986782217133,19.727370920877693,0.08189847927758316,8.348468835635389,4.151515151515151,7.85859746842902,1.8681818181818182,340.74549772425104,1.5488431714738684,53.80192069330279
14.0,17.7568,2.8090976970330646,2.032806122448979e-12,0.8582504413294108,18.881509709247034,0.08010337452407834,8.165481602862215,4.242424242424243,7.831696285692071,1.9090909090909092,326.13516770517606,1.482432580478073,51.49502647976464
14.3,17.7568,2.81850978105332,1.9484082351215213e-12,0.8222142170989697,18.088712776177335,0.07838442203010178,7.990257087676022,4.333333333333333,7.8055432512206036,1.95,312.44140249760846,1.4201881931709477,49.33285302593818
14.600000000000001,17.7568,2.827726444297107,1.869159316945017e-12,0.788392742360534,17.34464033193175,0.07673689358975866,7.822313311902003,4.424242424242425,7.78010194174514,1.9909090909090912,299.5892420970029,1.361769282259104,47.30356454163204
14.9,17.7568,2.8367556369236504,1.7946488896896535e-12,0.7566084948190226,16.6453868860185,0.07515644381868959,7.661207320967338,4.515151515151516,7.755338427337412,2.0318181818181817,287.5112280312286,1.3068692183237662,45.396509689141354
15.200000000000001,17.7568,2.845604833602421,1.7245065789473678e-12,0.7267013705646264,15.98743015242178,0.07363907221721548,7.5065313167396,4.606060606060606,7.731221053679786,2.0727272727272728,276.146520814558,1.255211458247991,43.60208223387758
15.5,17.7568,2.854281070691134,1.6583975026014566e-12,0.6985266740732556,15.367586829611625,0.07218108965423642,7.357909241002693,4.696969696969697,7.7077202472820705,2.1136363636363638,265.44013614783717,1.2065460733992597,41.91160044439534
15.8,17.7568,2.862790979849673,1.5960182663034765e-12,0.6719533735690066,14.782974218518147,0.07077908868260205,7.214993749500718,4.787878787878789,7.684808340829422,2.1545454545454548,255.34228195622254,1.160646736164648,40.3172024141404
16.1,17.7568,2.8711408184922447,1.5370934763319307e-12,0.64686258246649,14.23097681426278,0.06942991718473661,7.07746352545735,4.87878787878788,7.662459416237589,2.1954545454545458,245.8077813372662,1.1173080969875735,38.8117549479894
16.400000000000002,17.7568,2.87933649742806,1.4813726948245087e-12,0.6231462340320278,13.709217148704612,0.06813065492083505,6.94502088897401,4.969696969696971,7.640649163323318,2.2363636363636363,236.79556893217054,1.0763434951462296,37.388774041921664
16.7,17.7568,2.887383605996388,1.428627774391337e-12,0.6007059216787368,13.21553027693221,0.06687859261356603,6.81738966499144,5.0606060606060606,7.619354752278635,2.2772727272727273,228.26825023792,1.0375829556269092,36.04235530072421
17.0,17.7568,2.895287434963694,1.3786505190311415e-12,0.5794518816620177,12.747941396564388,0.06567121325502867,6.6943132777807,5.151515151515151,7.598554718376648,2.3181818181818183,220.1917150315667,1.000871431961667,34.76711289972106
17.300000000000004,17.7568,2.903052997417796,1.331250626482675e-12,0.559302098544068,12.304646167969496,0.06450617536541586,6.575553044384899,5.242424242424244,7.578228857540159,2.3590909090909093,212.53479744674584,0.966067261121572,33.55812591264408
17.6,17.7568,2.9106850478656785,1.286253873966942e-12,0.5401815167882725,11.883993369341994,0.06338129796982397,6.460886643203259,5.333333333333334,7.55835813157867,2.4,205.26897637954352,0.9330408017251978,32.41089100729634
17.9,17.7568,2.91818809971717,1.2435005149652008e-12,0.5220213443383576,11.484469575443866,0.062294547091044004,6.35010673710948,5.424242424242424,7.538924582048784,2.440909090909091,198.36811084857587,0.9016732311298903,31.321280660301454
18.2,17.7568,2.925566441315473,1.2028438594372658e-12,0.5047584361227715,11.104685594700973,0.061244023582896275,6.243019733220822,5.515151515151516,7.519911251821634,2.481818181818182,191.80820572665317,0.8718554805756963,30.28550616736629
18.500000000000004,17.7568,2.9328241506571118,1.1641490138787431e-12,0.4883347471742324,10.743364437833113,0.06022795215148868,6.1394446637603135,5.606060606060607,7.501302113551816,2.522727272727273,185.56720392620832,0.8434872905736742,29.300084830453944
18.8,17.7568,2.9399651089278134,1.1272917609778178e-12,0.47269684652641913,10.399330623581221,0.059244671431311215,6.039212174445588,5.696969696969699,7.483082004338229,2.563636363636364,179.62480168003927,0.8164763712729058,28.36181079158515
19.099999999999998,17.7568,2.946993012966802,1.0921575614703543e-12,0.4577954842919875,10.071500654423726,0.058292624999846415,5.942163608547035,5.787878787878788,7.465236565950362,2.6045454545454545,173.96228403095526,0.7907376546861603,27.46772905751925
