V_op_kV,E_peek_MVpm,V_onset_kV,k_geo_ApV2,I_ion_mA,power_W,thrust_N_UPPER_BOUND,thrust_gf_UPPER_BOUND,efficiency_N_per_kW_UPPER_BOUND,corona_onset_margin,mean_gap_breakdown_margin,droop_V,droop_pct,ripple_Vpp
15.0,17.7568,2.740667127244148,2.7668749999999996e-12,0.5088006246345952,7.6320093695189275,0.04070404997076762,4.14924056786622,5.333333333333334,5.4731199753846465,2.4,193.34423736114613,1.2889615824076408,30.528037478075703
15.25,17.7568,2.740667127244148,2.7668749999999996e-12,0.5278293459826717,8.049397526235744,0.042226347678613746,4.304418723609963,5.245901639344263,5.564338641641058,2.360655737704918,200.57515147341525,1.315246894907641,31.669760758960305
15.5,17.7568,2.740667127244148,2.7668749999999996e-12,0.5472039267057484,8.4816608639391,0.043776314136459875,4.462417343166144,5.161290322580646,5.655557307897468,2.32258064516129,207.93749214818436,1.341532207407641,32.8322356023449
15.75,17.7568,2.740667127244148,2.7668749999999996e-12,0.566924366803825,8.929058777160243,0.045353949344306005,4.623236426534761,5.07936507936508,5.746775974153879,2.2857142857142856,215.43125938545347,1.367817519907641,34.0154620082295
16.0,17.7568,2.740667127244148,2.7668749999999996e-12,0.5869906662769016,9.391850660430425,0.04695925330215212,4.786875973715812,5.0,5.83799464041029,2.25,223.05645318522255,1.394102832407641,35.21943997661408
16.25,17.7568,2.740667127244148,2.7668749999999996e-12,0.6074028251249781,9.870295908280895,0.048592226009998254,4.953335984709302,4.923076923076923,5.929213306666701,2.215384615384615,230.81307354749168,1.4203881449076412,36.444169507498685
16.5,17.7568,2.740667127244148,2.7668749999999996e-12,0.6281608433480547,10.364653915242902,0.05025286746784438,5.1226164595152275,4.8484848484848495,6.020431972923111,2.1818181818181817,238.70112047226078,1.4466734574076412,37.68965060088328
16.75,17.7568,2.740667127244148,2.7668749999999996e-12,0.6492647209461312,10.875184075847699,0.0519411776756905,5.294717398133588,4.776119402985075,6.111650639179523,2.1492537313432836,246.72059395952985,1.4729587699076407,38.95588325676787
17.0,17.7568,2.740667127244148,2.7668749999999996e-12,0.6707144579192078,11.402145784626533,0.05365715663353664,5.469638800564387,4.705882352941177,6.202869305435933,2.1176470588235294,254.87149400929897,1.499244082407641,40.242867475152465
17.25,17.7568,2.740667127244148,2.7668749999999996e-12,0.6925100542672845,11.945798436110657,0.05540080434138276,5.647380666807621,4.637681159420291,6.294087971692344,2.0869565217391304,263.1538206215681,1.5255293949076412,41.55060325603707
17.5,17.7568,2.740667127244148,2.7668749999999996e-12,0.7146515099903611,12.506401424831319,0.05717212079922889,5.827942996863292,4.571428571428572,6.385306637948754,2.0571428571428574,271.56757379633723,1.5518147074076414,42.879090599421666
17.75,17.7568,2.740667127244148,2.7668749999999996e-12,0.7371388250884376,13.084214145319768,0.058971106007075016,6.011325790731398,4.507042253521127,6.476525304205166,2.028169014084507,280.1127535336063,1.5781000199076411,44.22832950530625
18.0,17.7568,2.740667127244148,2.7668749999999996e-12,0.7599719995615142,13.679495992107256,0.06079775996492114,6.1975290484119405,4.444444444444445,6.567743970461576,2.0,288.7893598333754,1.6043853324076411,45.59831997369085
18.25,17.7568,2.740667127244148,2.7668749999999996e-12,0.7831510334095907,14.29250635972503,0.06265208267276726,6.3865527699049185,4.383561643835617,6.658962636717987,1.9726027397260275,297.5973926956445,1.630670644907641,46.989062004575445
18.5,17.7568,2.740667127244148,2.7668749999999996e-12,0.8066759266326674,14.923504642704346,0.06453407413061339,6.578396955210335,4.324324324324325,6.750181302974398,1.9459459459459458,306.53685212041364,1.6569559574076413,48.40055559796004
18.75,17.7568,2.740667127244148,2.7668749999999996e-12,0.830546679230744,15.57275023557645,0.06644373433845953,6.773061604328188,4.266666666666667,6.8413999692308085,1.92,315.60773810768274,1.6832412699076413,49.83280075384464
19.0,17.7568,2.740667127244148,2.7668749999999996e-12,0.8547632912038206,16.24050253287259,0.06838106329630565,6.970546717258476,4.210526315789474,6.932618635487219,1.8947368421052633,324.8100506574518,1.7095265824076413,51.285797472229234
19.25,17.7568,2.740667127244148,2.7668749999999996e-12,0.8793257625518971,16.92702092912402,0.07034606100415178,7.1708522940012,4.155844155844156,7.02383730174363,1.87012987012987,334.1437897697209,1.735811894907641,52.75954575311383
19.5,17.7568,2.740667127244148,2.7668749999999996e-12,0.9042340932749735,17.632564818861983,0.07233872746199789,7.37397833455636,4.102564102564103,7.115055968000041,1.8461538461538463,343.60895544448994,1.7620972074076406,54.25404559649841
19.75,17.7568,2.740667127244148,2.7668749999999996e-12,0.9294882833730502,18.35739359661774,0.07435906266984403,7.579924838923958,4.050632911392406,7.206274634256451,1.8227848101265824,353.20554768175907,1.7883825199076406,55.76929700238301
20.0,17.7568,2.740667127244148,2.7668749999999996e-12,0.9550883328461267,19.101766656922536,0.07640706662769015,7.78869180710399,4.0,7.297493300512862,1.7999999999999998,362.93356648152815,1.8146678324076408,57.3052999707676
20.25,17.7568,2.740667127244148,2.7668749999999996e-12,0.9810342416942033,19.865943394307617,0.07848273933553626,8.000279239096459,3.9506172839506175,7.388711966769273,1.7777777777777777,372.7930118437973,1.8409531449076408,58.862054501652196
20.5,17.7568,2.740667127244148,2.7668749999999996e-12,1.0073260099172798,20.650183203304238,0.0805860807933824,8.214687134901366,3.9024390243902447,7.479930633025684,1.7560975609756098,382.78388376856634,1.8672384574076408,60.43956059503679
20.75,17.7568,2.740667127244148,2.7668749999999996e-12,1.0339636375153565,21.454745478443645,0.08271709100122852,8.431915494518707,3.855421686746989,7.571149299282094,1.7349397590361444,392.90618225583546,1.8935237699076408,62.03781825092139
21.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.060947124488433,22.279889614257094,0.08487576995907466,8.651964317948487,3.8095238095238098,7.662367965538506,1.7142857142857142,403.1599073056045,1.9198090824076406,63.65682746930598
21.25,17.7568,2.740667127244148,2.7668749999999996e-12,1.0882764708365096,23.125875005275827,0.08706211766692078,8.8748336051907,3.764705882352942,7.753586631794916,1.6941176470588235,413.54505891787363,1.9460943949076406,65.29658825019058
21.5,17.7568,2.740667127244148,2.7668749999999996e-12,1.1159516765595863,23.992961046031105,0.08927613412476693,9.100523356245354,3.720930232558141,7.844805298051327,1.6744186046511627,424.0616370926428,1.972379707407641,66.95710059357518
21.75,17.7568,2.740667127244148,2.7668749999999996e-12,1.1439727416576628,24.881407131054168,0.09151781933261303,9.32903357111244,3.6781609195402303,7.936023964307738,1.6551724137931034,434.7096418299119,1.998665019907641,68.63836449945977
22.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,445.489073129681,2.024950332407641,70.34037996784437
22.25,17.7568,2.740667127244148,2.7668749999999996e-12,1.201052449978816,26.723417012028655,0.09608419599830528,9.794515392283923,3.5955056179775284,8.11846129682056,1.6179775280898876,456.39993099195,2.0512356449076403,72.06314699872894
22.5,17.7568,2.740667127244148,2.7668749999999996e-12,1.2301110932018924,27.67749959704258,0.09840888745615141,10.031486998588319,3.5555555555555562,8.20967996307697,1.6,467.4422154167191,2.0775209574076405,73.80666559211355
22.75,17.7568,2.740667127244148,2.7668749999999996e-12,1.259515595799969,28.6539798044493,0.10076124766399754,10.27127906870515,3.5164835164835164,8.30089862933338,1.5824175824175826,478.6159264039882,2.1038062699076403,75.57093574799815
23.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.2892659577730456,29.653117028780052,0.10314127662184366,10.513891602634422,3.4782608695652177,8.392117295589792,1.565217391304348,489.92106395375737,2.130091582407641,77.35595746638273
23.25,17.7568,2.740667127244148,2.7668749999999996e-12,1.319362179121122,30.67517066456609,0.10554897432968978,10.759324600376125,3.440860215053764,8.483335961846203,1.5483870967741935,501.3576280660264,2.1563768949076403,79.16173074726733
23.5,17.7568,2.740667127244148,2.7668749999999996e-12,1.3498042598441988,31.720400106338673,0.10798434078753592,11.007578061930268,3.4042553191489366,8.574554628102613,1.5319148936170213,512.9256187407956,2.182662207407641,80.98825559065193
23.75,17.7568,2.740667127244148,2.7668749999999996e-12,1.3805921999422757,32.789064748629045,0.11044737599538204,11.258651987296844,3.3684210526315788,8.665773294359024,1.5157894736842106,524.6250359780647,2.2089475199076407,82.83553199653653
24.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.4117259994153522,33.88142398596845,0.11293807995322817,11.512546376475857,3.333333333333333,8.756991960615435,1.5,536.4558797778338,2.235232832407641,84.70355996492113
24.25,17.7568,2.740667127244148,2.7668749999999996e-12,1.4432056582634287,34.99773721288815,0.11545645266107431,11.76926122946731,3.2989690721649487,8.848210626871845,1.4845360824742269,548.418150140103,2.261518144907641,86.59233949580572
24.5,17.7568,2.740667127244148,2.7668749999999996e-12,1.475031176486505,36.138263823919374,0.11800249411892041,12.028796546271193,3.2653061224489797,8.939429293128256,1.469387755102041,560.5118470648719,2.2878034574076405,88.5018705891903
24.75,17.7568,2.740667127244148,2.7668749999999996e-12,1.507202554084582,37.303263213593404,0.12057620432676656,12.291152326887518,3.2323232323232323,9.030647959384668,1.4545454545454546,572.7369705521411,2.3140887699076407,90.4321532450749
25.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.5397197910576583,38.492994776441456,0.12317758328461267,12.556328571316277,3.2,9.121866625641077,1.44,585.0935206019102,2.340374082407641,92.3831874634595
