r_wire_um,E_peek_MVpm,V_onset_kV,k_geo_ApV2,I_ion_mA,power_W,thrust_N_UPPER_BOUND,thrust_gf_UPPER_BOUND,efficiency_N_per_kW_UPPER_BOUND,corona_onset_margin,mean_gap_breakdown_margin,droop_V,droop_pct,ripple_Vpp
25.0,17.7568,2.740667127244148,2.7668749999999996e-12,1.1723396661307395,25.791472654876266,0.09378717329045916,9.560364249791963,3.6363636363636367,8.027242630564148,1.6363636363636365,445.489073129681,2.024950332407641,70.34037996784437
25.625000000000004,17.569347502096452,2.768411234525643,2.7668749999999996e-12,1.170650847640381,25.75431864808838,0.09365206781123048,9.546592029687103,3.6363636363636367,7.94679624386426,1.6363636363636365,444.84732210334477,2.0220332822879308,70.23905085842286
26.25,17.38863023442015,2.795763851562499,2.7668749999999996e-12,1.1689858596505762,25.717688912312678,0.0935188687720461,9.533014145978196,3.6363636363636362,7.869048019812053,1.6363636363636365,444.21462666721897,2.0191573939419043,70.13915157903457
26.875000000000004,17.214254291465906,2.822739775008308,2.7668749999999996e-12,1.1673438014705255,25.681563632351562,0.09338750411764206,9.519623253582267,3.6363636363636367,7.793846317248725,1.6363636363636365,443.5906445587997,2.0163211116309077,70.04062808823153
27.5,17.045857283387065,2.8493529103234856,2.7668749999999996e-12,1.1657238266574714,25.64592418646437,0.09325790613259773,9.506412449806087,3.6363636363636367,7.721051302663085,1.6363636363636365,442.9750541298391,2.0135229733174507,69.94342959944828
28.125000000000004,16.883105166440863,2.875616344391575,2.7668749999999996e-12,1.1641251385964542,25.610753049121993,0.09313001108771635,9.493375238299322,3.6363636363636367,7.650533786576726,1.6363636363636365,442.36755266665256,2.0107616030302387,69.84750831578725
28.75,16.725689454525625,2.9015424107455363,2.7668749999999996e-12,1.1625469865299056,25.576033703657927,0.09300375892239247,9.480505496676093,3.6363636363636367,7.5821741976010655,1.6363636363636365,441.76785488136414,2.0080357040062005,69.75281919179434
29.375000000000004,16.57332475881567,2.9271427482994663,2.7668749999999996e-12,1.1609886619825762,25.541750563616674,0.0928790929586061,9.467797447360457,3.6363636363636367,7.515861675273943,1.6363636363636365,441.1756915533789,2.0053440525153587,69.65931971895456
30.0,16.425746610824866,2.9524283543560887,2.7668749999999996e-12,1.159449495534902,25.507888901767842,0.09275595964279215,9.45524563127341,3.6363636363636362,7.451493265718247,1.6363636363636365,440.59080830326263,2.0026854922875574,69.56696973209411
30.625,16.28270953110294,2.9774096325548745,2.7668749999999996e-12,1.157928853904344,25.474434785895568,0.09263430831234754,9.442844884031349,3.6363636363636367,7.388973206593041,1.6363636363636365,440.0129644836507,2.0000589294711397,69.47573123426064
31.25,16.143985311467514,3.0020964363365565,2.7668749999999996e-12,1.1564261372996483,25.441375020592265,0.09251409098397188,9.430590314370221,3.6363636363636367,7.328212289824537,1.6363636363636365,439.44193217386635,1.997463328063029,69.3855682379789
31.875000000000004,16.009361483418928,3.0264981084241067,2.7668749999999996e-12,1.1549407770175888,25.408697094386955,0.09239526216140713,9.418477284547107,3.636363636363637,7.269127292286784,1.6363636363636365,438.87749526668375,1.9948977057576534,69.29644662105532
